ItemId,ImageURL,Video Url,Title,Origin_Price,Discount_Price,Discount,Currency,Direct_linking_commission_rate_(%),Estimated_direct_linking_commission,Indirect_linking_commission_rate_(%),Estimated_indirect_linking_commission,Sales180Day,Positive_Feedback,BuyLink,CouponCode,Code_Start_Time,Code_End_Time,Code_Value,Code_Quantity,Code_Minimum_Spend,OriginalPrice,SalePrice,Opening
1005004833536113,https://ae-pic-a1.aliexpress-media.com/kf/S1bdaf7e240ea455ca551d0735e3c82b17.jpg,,"🎵 אוזניות איכותיות עם ביטול רעשים חכם
💧 עמידות למים – מושלם לספורט
🔋 סוללה עוצמתית לזמן שימוש ארוך",ILS 9.51,ILS 9.51,0%,ILS,7,ILS 0.67,7,ILS 0.67,676,93.7%,https://s.click.aliexpress.com/e/_okXf9Nv,,,,,,,35.19,35.19,שומעים את ההבדל בכל צעד 🎧🔥
1005005298081792,https://ae-pic-a1.aliexpress-media.com/kf/Scf4202a5a443440ca7daeddd68d796e60.jpg,,"🎬 סטרימר אנדרואיד תומך 4K ו-Dolby Vision
📡 חיבור WiFi6 מהיר ויציב
📦 תומך באפליקציות נטפליקס, יוטיוב ועוד",ILS 801.75,ILS 368.80,54%,ILS,7,ILS 25.82,7,ILS 25.82,43,100.0%,https://s.click.aliexpress.com/e/_oEi4z2x,,,,,,,2966.48,1364.56,שדרגו את חוויית הצפייה שלכם 📺🚀
1005008509719805,https://ae-pic-a1.aliexpress-media.com/kf/S5234d851ce64414d87a0b2299975b377W.jpg,,"📱 גימבל חכם עם מעקב פנים AI
🎮 שליטה חלקה בתנועה לצילומים מקצועיים
🔋 סוללה חזקה לשעות של צילום",ILS 161.74,ILS 105.11,35%,ILS,8,ILS 8.41,7,ILS 7.36,122,95.0%,https://s.click.aliexpress.com/e/_oFlHomR,,,,,,,598.44,388.91,יציבות מושלמת לכל וידאו 🎥💫
1005006279180001,https://ae-pic-a1.aliexpress-media.com/kf/S391fec5a40ec4fb79b264bd2d6dbb703o.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2676145498/p/1/e/6/t/10301/4000122540807.mp4,"🎙️ זרוע מיקרופון מתכווננת לשולחן
🔧 ניהול כבלים קל ונוח
🌀 תמיכה מלאה למיקרופונים מקצועיים",ILS 68.51,ILS 56.86,17%,ILS,10,ILS 5.69,7,ILS 3.98,210,94.3%,https://s.click.aliexpress.com/e/_ooEOM3p,,,,,,,253.49,210.38,ארגנו את עמדת הסאונד שלכם כמו מקצוענים 🎙️🛠️
1005003799812281,https://ae-pic-a1.aliexpress-media.com/kf/Sd95da8a652ff4c05933f7278eede0c15d.jpg,,"🔊 רמקול עוצמתי עם באסים מודגשים
💦 עמיד למים – מתאים למקלחת, חוף או טיול
🔋 סוללה מחזיקה עד 30 שעות נגינה",ILS 30.17,ILS 30.17,0%,ILS,8,ILS 2.41,7,ILS 2.11,165,96.7%,https://s.click.aliexpress.com/e/_oBx2wlN,,,,,,,111.63,111.63,הביאו את המסיבה אליכם 🔊🎉
1005003832569687,https://ae-pic-a1.aliexpress-media.com/kf/S42c225454d4f4a3481dce6c482b1d27aa.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2212555365224/p/1/e/6/t/10301/346457546643.mp4,"🎤 מיקרופון דינמי עם חיבור כפול USB/XLR
🎚️ שליטה במגע ויציאת אוזניות מובנית
🛡️ כולל מתקן זעזועים לניקיון סאונד מושלם",ILS 25.93,ILS 25.93,0%,ILS,8,ILS 2.07,7,ILS 1.82,88,97.8%,https://s.click.aliexpress.com/e/_okA9uOn,,,,,,,95.94,95.94,הקליטו כמו מקצוענים מהבית 🎤💻
1005006844708998,https://ae-pic-a1.aliexpress-media.com/kf/S2b0078ebbe414f0ab65b56f972bd622eS.jpg,,"🧹 שואב אבק אלחוטי עוצמתי לבית ולרכב
💨 יניקה של 13000PA לניקוי יסודי
🔋 קל משקל ונייד לשימוש בכל מקום",ILS 5.86,ILS 5.86,0%,ILS,8,ILS 0.47,7,ILS 0.41,605,97.3%,https://s.click.aliexpress.com/e/_ooZpQVH,,,,,,,21.68,21.68,שואב את הלכלוך בקלות ובשקט 🌀🏠
1005003063109806,https://ae-pic-a1.aliexpress-media.com/kf/Hb572661d29974ec6b066761922fd88c3v.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2206601459778/p/1/e/6/t/10301/320565614210.mp4,"🌟 מקרן חכם עם רזולוציית 4K אמיתית
📡 תמיכה ב-WiFi6 ו-Bluetooth 5.2
🤖 פוקוס אוטומטי ותמיכה באנדרואיד 13",ILS 17.43,ILS 17.43,0%,ILS,7,ILS 1.22,7,ILS 1.22,461,90.7%,https://s.click.aliexpress.com/e/_oB3G3of,,,,,,,64.49,64.49,קולנוע ביתי מהחלומות 🎥🏡
1005008558864159,https://ae-pic-a1.aliexpress-media.com/kf/Se17efb2e8eea40878cccab2cee90bc14P.jpg,,"🕹️ ג'ויסטיק ארקייד איכותי עם תמיכה מלאה
🎮 תואם ל-USB, פלייסטיישן, סוויץ', אנדרואיד ועוד
⚡ עיצוב נוח לקרבות ממושכים",ILS 92.41,ILS 78.56,15%,ILS,7,ILS 5.50,7,ILS 5.50,47,97.5%,https://s.click.aliexpress.com/e/_omJuVDv,,,,,,,341.92,290.67,שליטה מדויקת לכל משחק 🕹️🔥
1005006427725157,https://ae-pic-a1.aliexpress-media.com/kf/S25f976770de54477a02e6e5610331127M.jpg,,"🖨️ נייר צילום דביק בגודל 3 אינץ’
📷 מותאם למדפסת Xiaomi ZINK
🧾 כולל 10/50/100 דפים לבחירה",ILS 6.12,ILS 6.12,0%,ILS,8,ILS 0.49,9,ILS 0.55,1422,94.4%,https://s.click.aliexpress.com/e/_oCsePun,,,,,,,22.64,22.64,הדפסה צבעונית וקומפקטית בכל מקום 🖨️✨
